_id,AnoReferencia,NomeMunicipio,NomeUnidadeEscolar,MatriculasTotal,MatriculaInicial,MatriculaAposCenso,Transferidos,Cancelados,Falecido,Abandono,Aprovados,Reprovados,Cursando,OutrasSituacoes
242,2026,Rio Negro,EE LEONTINO ALVES DE OLIVEIRA,497,497,0,19,6,0,0,0,0,470,2
243,2026,Campo Grande,EE LINO VILLACHA,1119,1119,0,35,23,0,0,0,0,1029,32
244,2026,Campo Grande,EE LÚCIA MARTINS COELHO,406,406,0,12,6,0,0,0,0,386,2
245,2026,Angelica,EE LUIS VAZ DE CAMÕES,319,319,0,5,0,0,0,0,0,313,1
246,2026,Campo Grande,EE LUISA VIDAL BORGES DANIEL,221,221,0,15,3,0,0,0,0,201,2
247,2026,Bonito,EE LUIZ DA COSTA FALCÃO,1293,1293,0,24,31,0,0,0,0,1221,17
248,2026,Tres Lagoas,EE LUIZ LOPES DE CARVALHO,1086,1086,0,17,5,0,0,0,0,1050,14
249,2026,Nova Andradina,EE LUIZ SOARES ANDRADE,365,365,0,35,10,0,0,0,0,319,1
250,2026,Campo Grande,EE MAESTRO FREDERICO LIEBERMANN,407,407,0,17,9,0,0,0,0,369,12
251,2026,Campo Grande,EE MAESTRO HEITOR VILLA LOBOS,683,683,0,24,7,1,0,0,0,640,11
252,2026,Água Clara,EE MAL. CASTELO BRANCO,942,942,0,3,24,0,0,0,0,906,9
253,2026,Água Clara,EE MAL. CASTELO BRANCO -EXTENSÃO SALA JOSÉ BELCHIOR,14,14,0,0,1,0,0,0,0,13,0
254,2026,Aquidauana,EE MAL. DEODORO DA FONSECA,422,422,0,19,0,0,0,0,0,402,1
255,2026,Mundo Novo,EE MAL. RONDON,467,467,0,14,7,0,0,0,0,440,6
256,2026,Nova Andradina,EE MAL. RONDON,859,859,0,35,11,0,0,0,0,803,10
257,2026,Campo Grande,EE MANOEL BONIFÁCIO NUNES DA CUNHA,342,342,0,18,14,0,0,0,0,300,10
258,2026,Bataguassu,EE MANOEL DA COSTA LIMA,641,641,0,32,10,0,0,0,0,591,8
259,2026,Bataguassu,EE MANOEL DA COSTA LIMA -EXTENSÃO SALA SANTA CLARA,31,31,0,0,1,0,0,0,0,30,0
260,2026,Maracaju,EE MANOEL FERREIRA DE LIMA,1066,1066,0,29,10,0,0,0,0,1025,2
261,2026,Paranaiba,EE MANOEL GARCIA LEAL,777,777,0,23,29,0,0,0,0,719,6
262,2026,Itaquirai,EE MANOEL GUILHERME DOS SANTOS,913,913,0,18,13,0,0,0,0,876,6
263,2026,Iguatemi,EE MARCÍLIO AUGUSTO PINTO,277,277,0,6,1,0,0,0,0,267,3
264,2026,Campo Grande,EE MARIA CONSTANÇA BARROS MACHADO,379,379,0,13,10,0,0,0,0,354,2
265,2026,Anastacio,EE MARIA CORRÊA DIAS - EXTENSÃO MONJOLINHO,71,71,0,0,2,1,0,0,0,68,0
266,2026,Anastacio,EE MARIA CORRÊA DIAS - EXTENSÃO SÃO MANOEL,48,48,0,0,2,0,0,0,0,45,1
267,2026,Dourados,EE MARIA DA GLÓRIA MUZZI FERREIRA,516,516,0,29,23,0,0,0,0,446,18
268,2026,Campo Grande,EE MARIA ELIZA BOCAYUVA CORRÊA DA COSTA,374,374,0,27,16,0,0,0,0,325,6
269,2026,Corumba,EE MARIA HELENA ALBANEZE,389,389,0,20,1,0,0,0,0,367,1
270,2026,Anaurilandia,EE MARIA JOSÉ,588,588,0,24,1,0,0,0,0,562,1
271,2026,Corumba,EE MARIA LEITE,535,535,0,9,10,0,0,0,0,514,2
272,2026,Ponta Pora,EE MENDES GONÇALVES,697,697,0,4,18,0,0,0,0,653,22
273,2026,Ponta Pora,EE MENDES GONÇALVES-EXTENSÃO UNIDADE EDUCACIONAL DE INTERNAÇÃO-UNEI MITAI,11,11,0,1,0,0,0,0,0,10,0
274,2026,Dourados,EE MENODORA FIALHO DE FIGUEIREDO,446,446,0,24,8,0,0,0,0,413,1
275,2026,Camapua,EE MIGUEL SUTIL,615,615,0,16,8,0,0,0,0,591,0
276,2026,Dourados,EE MIN. JOÃO PAULO DOS REIS VELOSO,432,432,0,16,4,0,0,0,0,389,23
277,2026,Corumba,EE NATHÉRCIA POMPEO DOS SANTOS,822,822,0,37,3,0,0,0,0,781,1
278,2026,Ponta Pora,EE NOVA ITAMARATI,1420,1420,0,73,2,0,0,0,0,1344,1
279,2026,Corumba,EE OCTACÍLIO FAUSTINO DA SILVA,404,404,0,22,5,0,0,0,0,374,3
280,2026,Nioaque,EE ODETE IGNÊZ RESSTEL VILLAS BÔAS,844,844,0,10,1,1,0,0,0,832,0
281,2026,Nioaque,EE ODETE IGNÊZ RESSTEL VILLAS BÔAS - EXTENSÃO ASSENTAMENTO PALMEIRA,134,134,0,3,3,0,0,0,0,128,0
282,2026,Campo Grande,EE OLINDA CONCEIÇÃO TEIXEIRA BACHA,597,597,0,32,2,0,0,0,0,561,2
283,2026,Itapora,EE OLIVIA PAULA,115,115,0,2,1,0,0,0,0,112,0
284,2026,Campo Grande,EE ORCÍRIO THIAGO DE OLIVEIRA,692,692,0,26,30,0,0,0,0,625,11
285,2026,Nova Andradina,EE PADRE ANCHIETA,196,196,0,16,4,0,0,0,0,175,1
286,2026,Maracaju,EE PADRE CONSTANTINO DE MONTE,503,503,0,13,5,0,0,0,0,474,11
287,2026,Campo Grande,EE PADRE FRANCO DELPIANO,469,469,0,13,0,0,0,0,0,456,0
288,2026,Tres Lagoas,EE PADRE JOÃO TOMES,514,514,0,22,9,1,0,0,0,478,4
289,2026,Vicentina,EE PADRE JOSÉ DANIEL,376,376,0,12,1,0,0,0,0,363,0
290,2026,Caarapo,EE PADRE JOSÉ DE ANCHIETA,202,202,0,13,0,0,0,0,0,189,0
